variant,beta_cte,gamma_ngram,P@5,R@5,NDCG@5,P@10,R@10,NDCG@10,P@20,R@20,NDCG@20
va_only,0.0,0.0,0.0819188191881917,0.0052370691988788,0.0839937954116528,0.0741697416974169,0.0094599722378331,0.078021905446085,0.0736162361623617,0.0187306105239043,0.0764267833000788
va_plus_cte_best,0.1,0.0,0.0848708487084869,0.0054138242745997,0.0799077198659281,0.0808118081180811,0.010293749866854,0.078946105553777,0.0719557195571956,0.0183285713869274,0.0735373745802335
va_plus_ngram_best,0.0,0.75,0.0841328413284131,0.0053753583940424,0.0874109575818924,0.0752767527675276,0.0096007295840882,0.0802587696008573,0.0749077490774909,0.0190569447289124,0.0782597705390216
full_best,0.1,0.75,0.0863468634686345,0.0055121526432679,0.0826368496238135,0.0830258302583026,0.0105769461611698,0.0815784043429749,0.0732472324723247,0.0186522112473849,0.075268931321109
