rank,song_id,score,term_va,term_cte,term_ngram,d_va,d_cte,sim_ngram
1,1332,0.3781098617873246,-0.3718901382126754,-0.0,0.75,0.3718901382126754,0.0,1.0
2,1843,0.21045185082066753,-0.5395481491793325,-0.0,0.75,0.5395481491793325,0.0,1.0
3,1290,0.11857143570512407,-0.6314285642948759,-0.0,0.75,0.6314285642948759,0.0,1.0
4,365,0.0360953802069669,-0.7139046197930331,-0.0,0.75,0.7139046197930331,0.0,1.0
5,529,-0.015468548341934896,-0.7654685483419349,-0.0,0.75,0.7654685483419349,0.0,1.0
6,1523,-0.059233492455555564,-0.2620381117352713,-0.011481095005998532,0.21428571428571427,0.2620381117352713,0.1148109500599853,0.2857142857142857
7,1873,-0.06396000007967728,-0.8139600000796773,-0.0,0.75,0.8139600000796773,0.0,1.0
8,1590,-0.07163364074627906,-0.07163364074627906,-0.0,0.0,0.07163364074627906,0.0,0.0
9,392,-0.07386529034504258,-0.04356833251508321,-0.030296957829959364,0.0,0.04356833251508321,0.30296957829959364,0.0
10,181,-0.07534338658828713,-0.18621493930220676,-0.05579511395274703,0.16666666666666666,0.18621493930220676,0.5579511395274702,0.2222222222222222
